Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
PER,4.0,HARD,16.0,49.0,,,4,R
PER,4.0,HARD,17.0,50.0,,,4,R
PER,4.0,HARD,18.0,51.0,,,4,R
PER,4.0,HARD,19.0,52.0,,,4,R
PER,4.0,HARD,20.0,53.0,,,4,R
SAI,1.0,MEDIUM,1.0,1.0,0 days 01:04:56.098000,,4,R
SAI,2.0,MEDIUM,1.0,2.0,,0 days 01:31:16.209000,4,R
SAI,2.0,MEDIUM,2.0,3.0,,,4,R
SAI,2.0,MEDIUM,3.0,4.0,,,4,R
SAI,2.0,MEDIUM,4.0,5.0,,,4,R
SAI,2.0,MEDIUM,5.0,6.0,,,4,R
SAI,2.0,MEDIUM,6.0,7.0,,,4,R
SAI,2.0,MEDIUM,7.0,8.0,,,4,R
SAI,2.0,MEDIUM,8.0,9.0,,,4,R
SAI,2.0,MEDIUM,9.0,10.0,,,4,R
SAI,2.0,MEDIUM,10.0,11.0,,,4,R
SAI,2.0,MEDIUM,11.0,12.0,,,4,R
SAI,2.0,MEDIUM,12.0,13.0,,,4,R
SAI,2.0,MEDIUM,13.0,14.0,,,4,R
SAI,2.0,MEDIUM,14.0,15.0,0 days 01:55:54.071000,,4,R
SAI,3.0,MEDIUM,2.0,16.0,,0 days 01:56:17.184000,4,R
SAI,3.0,MEDIUM,3.0,17.0,,,4,R
SAI,3.0,MEDIUM,4.0,18.0,,,4,R
SAI,3.0,MEDIUM,5.0,19.0,,,4,R
SAI,3.0,MEDIUM,6.0,20.0,,,4,R
SAI,3.0,MEDIUM,7.0,21.0,,,4,R
SAI,3.0,MEDIUM,8.0,22.0,,,4,R
SAI,3.0,MEDIUM,9.0,23.0,,,4,R
SAI,3.0,MEDIUM,10.0,24.0,,,4,R
SAI,3.0,MEDIUM,11.0,25.0,,,4,R
SAI,3.0,MEDIUM,12.0,26.0,,,4,R
SAI,3.0,MEDIUM,13.0,27.0,,,4,R
SAI,3.0,MEDIUM,14.0,28.0,,,4,R
SAI,3.0,MEDIUM,15.0,29.0,,,4,R
SAI,3.0,MEDIUM,16.0,30.0,,,4,R
SAI,3.0,MEDIUM,17.0,31.0,,,4,R
SAI,3.0,MEDIUM,18.0,32.0,,,4,R
SAI,3.0,MEDIUM,19.0,33.0,,,4,R
SAI,3.0,MEDIUM,20.0,34.0,,,4,R
SAI,3.0,MEDIUM,21.0,35.0,,,4,R
SAI,3.0,MEDIUM,22.0,36.0,0 days 02:30:13.275000,,4,R
SAI,4.0,HARD,1.0,37.0,,0 days 02:30:36.682000,4,R
SAI,4.0,HARD,2.0,38.0,,,4,R
SAI,4.0,HARD,3.0,39.0,,,4,R
SAI,4.0,HARD,4.0,40.0,,,4,R
SAI,4.0,HARD,5.0,41.0,,,4,R
SAI,4.0,HARD,6.0,42.0,,,4,R
SAI,4.0,HARD,7.0,43.0,,,4,R
SAI,4.0,HARD,8.0,44.0,,,4,R
SAI,4.0,HARD,9.0,45.0,,,4,R
SAI,4.0,HARD,10.0,46.0,,,4,R
SAI,4.0,HARD,11.0,47.0,,,4,R
SAI,4.0,HARD,12.0,48.0,,,4,R
SAI,4.0,HARD,13.0,49.0,,,4,R
SAI,4.0,HARD,14.0,50.0,,,4,R
SAI,4.0,HARD,15.0,51.0,,,4,R
SAI,4.0,HARD,16.0,52.0,,,4,R
SAI,4.0,HARD,17.0,53.0,,,4,R
LEC,1.0,MEDIUM,1.0,1.0,0 days 01:05:12.799000,,4,R
LEC,2.0,MEDIUM,1.0,2.0,,0 days 01:31:36.027000,4,R
LEC,2.0,MEDIUM,2.0,3.0,,,4,R
LEC,2.0,MEDIUM,3.0,4.0,,,4,R
LEC,2.0,MEDIUM,4.0,5.0,,,4,R
LEC,2.0,MEDIUM,5.0,6.0,,,4,R
LEC,2.0,MEDIUM,6.0,7.0,,,4,R
LEC,2.0,MEDIUM,7.0,8.0,,,4,R
LEC,2.0,MEDIUM,8.0,9.0,,,4,R
LEC,2.0,MEDIUM,9.0,10.0,,,4,R
LEC,2.0,MEDIUM,10.0,11.0,,,4,R
LEC,2.0,MEDIUM,11.0,12.0,,,4,R
LEC,2.0,MEDIUM,12.0,13.0,,,4,R
LEC,2.0,MEDIUM,13.0,14.0,,,4,R
LEC,2.0,MEDIUM,14.0,15.0,,,4,R
LEC,2.0,MEDIUM,15.0,16.0,,,4,R
LEC,2.0,MEDIUM,16.0,17.0,,,4,R
LEC,2.0,MEDIUM,17.0,18.0,,,4,R
LEC,2.0,MEDIUM,18.0,19.0,,,4,R
LEC,2.0,MEDIUM,19.0,20.0,,,4,R
LEC,2.0,MEDIUM,20.0,21.0,,,4,R
LEC,2.0,MEDIUM,21.0,22.0,,,4,R
LEC,2.0,MEDIUM,22.0,23.0,,,4,R
LEC,2.0,MEDIUM,23.0,24.0,,,4,R
LEC,2.0,MEDIUM,24.0,25.0,,,4,R
LEC,2.0,MEDIUM,25.0,26.0,0 days 02:14:00.746000,,4,R
LEC,3.0,HARD,1.0,27.0,,0 days 02:14:24.012000,4,R
LEC,3.0,HARD,2.0,28.0,,,4,R
LEC,3.0,HARD,3.0,29.0,,,4,R
LEC,3.0,HARD,4.0,30.0,,,4,R
LEC,3.0,HARD,5.0,31.0,,,4,R
LEC,3.0,HARD,6.0,32.0,,,4,R
LEC,3.0,HARD,7.0,33.0,,,4,R
LEC,3.0,HARD,8.0,34.0,,,4,R
LEC,3.0,HARD,9.0,35.0,,,4,R
LEC,3.0,HARD,10.0,36.0,,,4,R
LEC,3.0,HARD,11.0,37.0,,,4,R
LEC,3.0,HARD,12.0,38.0,,,4,R
